row,folder,file,d43_filename,d44_res,d44_plays,d44_dur>60,d45_size<30,d45_bitrate,d7_deadair,d6_hum,lufs,auto_status,E1_cap-covers-picture,E2_cap-not-split-synced,E3_cap-font-shrunk,E4_tofu-in-captions,E5_tofu-end-card,E8_tts-homograph,E9_narrator-quotes-kjv,E10_jesus-not-exact-kjv,E12_face-visible-where-withheld,E13_face-inconsistent,E14_caucasian-jesus,E15_halo-glow,E16_brown-mantle-variance,E17_wrong-limb-count,E18_duplicate-character,E19_look-drift,E20_trait-not-reading,E21_trait-caricature,E22_wrong-scale,E23_on-the-water,E24_direction-vs-narration,E25_action-wrong,E26_lighting-wrong-tod,E27_figure-out-of-place,E28_gore-wet-tears,E29_embodied-satan,E30_shame-no-mercy,E31_fear-closing-card,E32_child-in-peril,E33_not-10yo-safe,E34_style-drift,E35_ai-clip-in-stills,E36_gibberish-text,E37_modern-objects,E38_ref-portrait-collapse,E39_must-show-missing,E40_must-never-show-present,E41_verse-card-source,E42_closing-q-vs-seed,E46_narrator-not-plain,E47_not-carried-to-final-verse,E48_sacred-silence-missing
1,build-01-cloak,mark-5_woman-touches-his-cloak.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-16.8),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
2,build-02-prodigal,luke-15_prodigal-son.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-16.5),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
3,build-03-zacchaeus,luke-19_zacchaeus.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-14.8),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
4,build-04-nicodemus,john-3_nicodemus.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-16.8),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
5,build-05-bent-woman,luke-13_bent-woman.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-16.7),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
6,build-06-two-sons,matthew-21_two-sons.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-16.7),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
7,build-07-peter-water,matthew-14_peter-walks-on-water.mp4,PASS,PASS,PASS,PASS,PASS,PASS,MINOR(2.56s),PASS,PASS(-14.8),MINOR,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
8,build-08-lost-coin,luke-15_lost-coin.mp4,PASS,PASS,PASS,FAIL(56s),PASS,PASS,FAIL(10.85s),PASS,CHECK(-21.1),FAIL,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
9,build-09-rich-ruler,mark-10_rich-young-ruler.mp4,PASS,PASS,PASS,PASS,PASS,PASS,MINOR(2.52s),PASS,PASS(-16.6),MINOR,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
10,build-10-well,john-4_woman-at-the-well.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-16.5),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
11,build-11-storm,mark-4_calming-the-storm.mp4,PASS,PASS,PASS,PASS,PASS,PASS,MINOR(2.84s),PASS,PASS(-16.7),MINOR,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
12,build-12-bartimaeus,mark-10_bartimaeus.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-16.6),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
13,build-13-roof,mark-2_man-through-the-roof.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-16.6),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
14,build-14-ten-lepers,luke-17_ten-lepers.mp4,PASS,PASS,PASS,PASS,PASS,PASS,MINOR(3.35s),PASS,PASS(-16.7),MINOR,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
15,build-15-centurion,matthew-8_centurion.mp4,PASS,PASS,PASS,PASS,PASS,PASS,MINOR(2.70s),PASS,PASS(-16.8),MINOR,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
16,build-16-mary-martha,luke-10_mary-and-martha.mp4,PASS,PASS,PASS,PASS,PASS,PASS,MINOR(2.83s),PASS,PASS(-16.8),MINOR,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
17,build-17-lazarus,john-11_lazarus.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-16.6),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
18,build-18-emmaus,luke-24_emmaus.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-16.6),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
19,build-19-shore,john-21_shore.mp4,PASS,PASS,PASS,PASS,PASS,PASS,MINOR(2.78s),PASS,PASS(-16.6),MINOR,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
20,build-20-samaritan,luke-10_samaritan.mp4,PASS,PASS,PASS,PASS,PASS,PASS,MINOR(2.76s),PASS,PASS(-16.7),MINOR,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
21,build-21-lost-sheep,luke-15_lost-sheep.mp4,PASS,PASS,PASS,PASS,PASS,PASS,MINOR(2.78s),PASS,PASS(-14.8),MINOR,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
22,build-22-unmerciful-servant,matthew-18_unmerciful-servant.mp4,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS(-16.6),PASS,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
23,build-23-vineyard,matthew-20_vineyard-workers.mp4,PASS,PASS,PASS,PASS,PASS,PASS,MINOR(2.77s),PASS,PASS(-14.8),MINOR,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
24,build-24-sower,matthew-13_sower.mp4,PASS,PASS,PASS,PASS,PASS,PASS,MINOR(2.81s),PASS,PASS(-14.8),MINOR,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES,EYES
