build-04-nicodemus	n0,n2b,n3a,j1,n4,n4b,n6,n9,n10,n11
build-06-two-sons	j1,j2
build-100-the-ascension	j1
build-106-god-spake-by-prophets	jv1
build-110-lords-prayer	jv13,n4
build-119-fourth-man-in-fire	n2,s326,s328
build-126-by-their-fruits	card
build-127-the-strait-gate	j1,j2
build-13-roof	n0
build-132-forbid-him-not	n2,jv41
build-133-many-mansions	n1,n4
build-134-other-sheep-i-have	n0,n1a
build-137-stephen-sees-him-standing	n0a,n0b
build-149-hannah-is-heard	n3a
build-150-shepherd-psalm	s2,s3b
build-151-ask-of-god	n4
build-155-falling-away	n1
build-162-keys-of-kingdom	n1
build-166-baptized-properly	s4,kv6
build-168-born-water-spirit	n1,kv3b,n3,kv5b,n6
build-173-dead-shall-hear	j24,j1a
build-179-stephens-witness	n0,n1,n3b
build-18-emmaus	n0,n5,s29
build-184-third-heaven	s1
build-187-ye-are-gods	n1,n82a,n82g
build-191-windows-of-heaven	n0
build-195-prove-all-things	s19
build-22-unmerciful-servant	j4
build-24-sower	s3
build-27-leaven	s33,n2,n6
build-31-ten-virgins	j6
build-33-sheep-goats	j2
build-38-persistent-widow	s1
build-39-the-pharisee-and-the-publican	s9
build-41-counting-the-cost	j7
build-42-barren-fig-tree	s6a
build-43-the-wedding-garment	s1
build-49-water-to-wine	n2
build-50-noblemans-son	n1,n2,n3,n4,jv50,n7,s51,n10b
build-51-first-catch-of-fish	n1
build-52-demoniac-synagogue	n1
build-57-jairus-daughter	jtal
build-60-gerasene-demoniac	n9
build-62-ephphatha	n0,j1
build-63-man-born-blind	j2,n4,n5
build-64-pool-of-bethesda	n0
build-65-help-thou-mine-unbelief	n0:NO-AUDIO,n1:NO-AUDIO,n2:NO-AUDIO,j1:NO-AUDIO,n3:NO-AUDIO,j2:NO-AUDIO,n4:NO-AUDIO,card:NO-AUDIO
build-66-malchus-ear	n0
build-67-transfiguration	n0:NO-AUDIO,n1:NO-AUDIO,n2:NO-AUDIO,n3:NO-AUDIO,n4:NO-AUDIO,n5:NO-AUDIO,jv1:NO-AUDIO,n6:NO-AUDIO,j1:NO-AUDIO,n7:NO-AUDIO,card:NO-AUDIO
build-68-multitudes-mountain	j1,n7
build-71-calling-the-fishermen	n7,n9
build-76-suffer-the-little-children	j2
build-77-widows-mite	j1
build-82-anointing-at-bethany	j3
build-91-gethsemane	n1
build-94-father-forgive-them	s34b
build-95-thief-on-the-cross	j1
build-96-it-is-finished	s51
build-97-the-empty-tomb	s6
build-99-flesh-and-bone-thomas	n2b,n4a,n4b,card
